,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
32924,1088582,510,MADISON AVE,MANHATTAN,105,005359381,7069016,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,07/09/2021 06:00:00 PM,07/10/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.759651,-73.974299,5,4,102,1012880056,MIDTOWN-MIDTOWN SOUTH
51148,1067567,2,HORATIO ST,MANHATTAN,102,005021671,6882799,AHV PERMIT REJECTED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,10/16/2021 09:00:00 AM,10/16/2021 04:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.738753,-74.002504,2,3,77,1006167501,WEST VILLAGE
37440,1080644,620,AVENUE OF THE AMERICAS,MANHATTAN,105,005382671005382631,8768704,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,07/23/2021 06:00:00 PM,07/24/2021 02:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.740081,-73.994843,5,3,54,1008207505,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
57493,5159763,365,BAY ST,STATEN ISLAND,501,004812471,9485823,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,11/03/2021 06:00:00 AM,11/03/2021 07:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.633326,-74.075253,1,49,21,5004880071,STAPLETON-ROSEBANK
54847,1071414,1166,AVENUE OF THE AMERICAS,MANHATTAN,105,005115781005116071005120101,9972260,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/12/2021 06:00:00 PM,10/13/2021 03:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.757004,-73.982526,5,4,96,1012617501,MIDTOWN-MIDTOWN SOUTH
53749,1024686,3,TIMES SQ,MANHATTAN,105,005462311,6048780,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,10/06/2021 06:00:00 PM,10/06/2021 11:59:00 PM,TRUE,TRUE,TRUE,FALSE,40.756376,-73.986713,5,3,119,1010140033,MIDTOWN-MIDTOWN SOUTH
20324,3002108,16,COURT ST,BROOKLYN,302,004838681,1472993,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,05/05/2021 06:00:00 PM,05/06/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.693445,-73.990577,2,33,9,3002500044,BROOKLYN HEIGHTS-COBBLE HILL
58209,1080644,620,6 AVE,MANHATTAN,105,005960581005962151,5399383,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/30/2021 09:00:00 AM,10/30/2021 05:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.740081,-73.994843,5,3,54,1008207505,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
20315,1024877,1740,BROADWAY,MANHATTAN,105,004495851,1918086,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,03/11/2021 06:00:00 PM,03/12/2021 03:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.765098,-73.982095,5,4,137,1010270020,MIDTOWN-MIDTOWN SOUTH
32430,1034510,1290,AVENUE OF THE AMERICAS,MANHATTAN,105,005123401,2784994,AHV PERMIT ISSUED,RENEWAL,CITY CONSTRUCTION PROJECT,08/07/2021 08:00:00 AM,08/07/2021 08:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.760857,-73.979717,5,4,104,1012670001,MIDTOWN-MIDTOWN SOUTH
